,lat,lng
1701,39.969701,116.322255
1706,39.967641,116.326319
1707,39.968721,116.329769
1708,39.975737,116.33036000000001
1709,39.971954,116.328354
1710,39.96796,116.326089
1711,39.965653,116.323089
1712,39.970176,116.324448
1713,39.970557,116.32086100000001
1714,39.975884,116.331631
1715,39.967622999999996,116.325226
1716,39.96617,116.32587
1717,39.970223,116.322574
1718,39.967,116.33015
1719,39.969134000000004,116.32273799999999
1720,39.97144,116.32368999999998
1721,39.970265999999995,116.326048
1722,39.97061,116.32091000000001
1723,39.968669,116.329728
1724,39.971030999999996,116.320595
1725,39.97183,116.33118
1726,39.966516,116.32588
1727,39.968338,116.32352
1728,39.966202,116.32313
1729,39.966583,116.32459899999999
1730,39.970557,116.32086100000001
1731,39.96658,116.32595
1732,39.970233,116.32242099999999
1733,39.965641,116.32361499999999
1734,40.048066,116.292387
1735,40.029812,116.31831899999999
1736,40.036444,116.307115
1737,40.043388,116.30234399999999
1738,40.044309999999996,116.29548
1739,40.03052,116.31175
1740,40.044788,116.28823
1741,40.043244,116.27950700000001
1742,40.043689,116.30536599999999
1743,40.028647,116.311536
1744,40.036893,116.306675
1745,39.970131,116.321657
1746,40.046104,116.304354
1747,40.030499,116.31196299999999
1748,40.054159999999996,116.30238
1749,40.053049,116.29864099999999
1750,40.035005,116.292601
1751,40.04784,116.29813999999999
1752,40.02863,116.311322
1753,40.02987,116.31366899999999
1754,40.053056,116.30198999999999
1755,40.047738,116.29838000000001
1756,40.036063,116.30870900000001
1757,40.04225,116.30975
1758,40.041990000000006,116.307074
1759,40.027962,116.30982900000001
1760,40.036526,116.30716100000001
1761,40.022017,116.318317
1762,40.050707,116.30161299999999
1763,40.02391,116.2981
1764,40.047035,116.29828
1765,40.043733,116.28913700000001
1766,40.02466,116.30006000000002
1767,39.959689000000004,116.28933400000001
1768,39.957545,116.27658999999998
1769,39.957377,116.279777
1770,39.960471000000005,116.288156
1771,39.959062,116.28976000000002
1772,39.958956,116.29223799999998
1773,39.958263,116.27705700000001
1774,39.95884,116.2921
1775,39.958556,116.287852
1776,39.949978,116.28584
1777,39.961169,116.28869499999999
1778,39.955859000000004,116.30883500000002
1779,39.959270000000004,116.28851
1780,39.958711,116.28913100000001
1781,39.958299,116.28927
1782,39.958726,116.28931999999999
1783,39.958684999999996,116.288872
1784,39.95929,116.2887
1785,39.952617,116.27984
1786,39.956156,116.30688
1787,39.958774,116.287952
1788,39.954842,116.30835400000001
1789,39.958121999999996,116.286831
1790,39.958688,116.289092
1791,39.958940000000005,116.29213
1792,39.958931,116.29226200000001
1793,39.961113,116.286129
1794,39.958674,116.288876
1795,39.959027,116.288673
1796,39.95027,116.2848
1797,39.958659999999995,116.29207
1798,39.954388,116.283781
1799,39.91753,116.27993000000001
1800,39.913319,116.27774699999999
1801,39.909711,116.278497
1802,39.909048,116.277359
1803,39.922769,116.25956299999999
1804,39.913208000000004,116.276878
1805,39.91353,116.2776
1806,39.91597,116.27363999999999
1807,39.909325,116.278654
1808,39.913071,116.27696
1809,39.91344,116.26437800000001
1810,39.913443,116.27581599999999
1811,39.913352,116.280178
1812,39.91036,116.27913999999998
1813,39.91321,116.27768
1814,39.914619,116.27963999999999
1815,39.91321,116.27768
1816,39.917813,116.278573
1817,39.923201,116.17227199999999
1818,39.909964,116.27711799999999
1819,39.913455,116.264424
1820,39.91749,116.28195
1821,39.914471999999996,116.28148799999998
1822,39.917412,116.262051
1823,39.918888,116.279683
1824,39.91794,116.28241000000001
1825,39.907242,116.273622
1826,39.917834,116.279182
1827,39.909459999999996,116.27345
1828,39.917291999999996,116.26158799999999
1829,39.914134000000004,116.282523
1830,39.955057000000004,116.322565
1831,39.954251,116.32189
1832,39.958692,116.314493
1833,39.947815999999996,116.32517299999999
1834,39.95413,116.31766
1835,39.953720000000004,116.31845600000001
1836,39.951075,116.324494
1837,39.961259999999996,116.31566299999999
1838,39.957052000000004,116.311175
1839,39.961191,116.323102
1840,39.953299,116.325121
1841,39.958766,116.327579
1842,39.960784999999994,116.315074
1843,39.953781,116.321228
1844,39.955459999999995,116.314447
1845,39.908934,116.27298799999998
1846,39.959286999999996,116.316971
1847,39.954904,116.313579
1848,39.957108000000005,116.331277
1849,39.951029999999996,116.31456999999999
1850,39.957176000000004,116.322774
1851,39.957112,116.31810800000001
1852,39.950625,116.32046899999999
1853,39.953534000000005,116.316848
1854,39.961656,116.32396399999999
1855,39.951161,116.32396899999999
1856,39.955290000000005,116.31676999999999
1857,39.958298,116.322722
1858,39.953976000000004,116.321698
1859,39.956987,116.31891599999999
1860,39.963325,116.324575
1861,39.962990000000005,116.32491399999999
1862,39.963583,116.323424
1863,39.979828000000005,116.36745
1864,39.978409,116.37029
1865,39.976315,116.37942199999999
1866,39.973001000000004,116.36353100000001
1867,39.986507,116.369836
1868,39.98048,116.36601999999999
1869,39.9784,116.376928
1870,39.97752,116.36653000000001
1871,39.981786,116.361124
1872,39.978829,116.37023899999998
1873,39.985732,116.361834
1874,39.971658000000005,116.35473
1875,39.973361,116.370479
1876,39.973766,116.37617900000001
1877,39.9688,116.375597
1878,39.968619,116.371276
1879,39.972474,116.36966799999999
1880,39.977469,116.3708
1881,39.978289000000004,116.36691
1882,39.98126,116.373011
1883,39.982317,116.366125
1884,39.97282,116.35542
1885,39.985002,116.36221299999998
1886,39.972412,116.365204
1887,39.971671,116.372417
1888,40.027928,116.33544499999999
1889,39.981938,116.362549
1890,40.051907,116.308748
1891,40.03219,116.348302
1892,40.040898999999996,116.34069299999999
1893,40.033474,116.34676499999999
